               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093543,            0.029856,            0.063355,             0.85793,            0.076438,            0.055952,            0.022868,            0.075222,            0.015443,            0.055903,            0.070545,           0.0032727,           0.0032727
                   1,            0.066086,            0.026788,            0.050902,             0.65014,             0.14682,              0.1096,            0.041303,             0.06966,             0.01304,            0.045896,             0.04048,           0.0065407,           0.0065407
                   2,            0.060881,            0.025026,            0.044244,             0.70877,             0.26387,             0.22891,             0.10055,            0.064592,            0.014212,            0.035081,            0.010349,           0.0097426,           0.0097426
                   3,            0.058515,            0.023653,            0.038244,             0.37994,             0.30622,             0.20592,            0.086673,            0.065932,            0.013588,            0.039585,            0.009703,            0.009703,            0.009703
                   4,            0.055872,            0.023829,            0.035589,             0.46159,             0.27797,             0.28551,             0.11906,            0.065104,            0.014134,            0.033913,            0.009703,            0.009703,            0.009703
                   5,            0.053681,            0.024204,            0.033119,             0.43493,             0.41419,             0.39619,             0.15321,            0.059188,            0.013241,            0.026913,            0.009604,            0.009604,            0.009604
                   6,             0.05236,            0.023895,            0.033061,             0.41411,             0.52348,             0.46994,             0.19982,            0.059089,            0.012837,            0.027212,            0.009505,            0.009505,            0.009505
                   7,            0.051689,            0.023939,            0.030855,             0.47122,             0.44052,             0.40699,             0.15139,            0.062921,            0.013037,            0.023546,            0.009406,            0.009406,            0.009406
                   8,            0.050566,            0.024148,            0.030583,             0.39501,             0.43012,             0.42112,             0.19563,            0.060345,            0.013077,            0.024364,            0.009307,            0.009307,            0.009307
                   9,            0.049315,             0.02363,            0.028593,             0.59209,             0.56547,             0.57975,              0.2721,            0.049983,            0.012065,            0.021044,            0.009208,            0.009208,            0.009208
                  10,            0.048829,            0.023682,            0.027128,             0.58192,             0.46457,             0.51788,             0.21975,            0.056006,            0.012506,            0.021283,            0.009109,            0.009109,            0.009109
                  11,            0.047302,            0.023481,            0.027471,             0.58284,             0.49382,             0.53535,              0.2312,            0.054288,            0.012056,            0.017684,             0.00901,             0.00901,             0.00901
                  12,            0.047941,            0.023261,            0.027667,             0.58104,              0.5881,             0.60307,             0.25563,            0.052157,            0.011986,            0.018874,            0.008911,            0.008911,            0.008911
                  13,            0.047296,            0.022818,            0.027022,             0.59815,             0.50401,              0.5571,             0.25457,            0.053521,            0.012333,            0.021233,            0.008812,            0.008812,            0.008812
                  14,            0.045841,            0.022748,             0.02733,             0.71994,             0.59857,             0.61466,             0.23643,            0.053899,            0.012638,             0.01922,            0.008713,            0.008713,            0.008713
                  15,            0.046028,            0.022392,            0.025944,             0.68036,             0.62206,             0.63538,             0.26898,            0.051466,            0.011937,             0.01875,            0.008614,            0.008614,            0.008614
                  16,            0.045212,            0.022997,            0.025284,             0.66859,             0.62119,             0.63853,             0.25998,            0.050618,            0.012233,            0.017933,            0.008515,            0.008515,            0.008515
                  17,            0.044567,            0.022406,            0.025842,             0.52782,             0.59745,             0.60424,             0.26982,            0.050048,            0.011854,            0.019594,            0.008416,            0.008416,            0.008416
                  18,            0.044333,            0.022801,            0.023342,             0.71445,              0.6694,             0.70142,             0.32051,            0.049498,            0.011915,            0.016064,            0.008317,            0.008317,            0.008317
                  19,             0.04495,            0.022588,            0.024677,             0.69464,             0.61542,             0.66272,             0.32353,            0.049752,            0.012385,            0.015683,            0.008218,            0.008218,            0.008218
                  20,            0.044968,             0.02255,            0.024579,             0.74975,             0.64972,              0.7104,              0.3238,            0.048716,            0.012053,            0.014264,            0.008119,            0.008119,            0.008119
                  21,            0.043749,            0.022292,            0.023767,             0.75125,             0.63003,             0.67411,             0.31146,            0.047929,            0.012132,            0.016118,             0.00802,             0.00802,             0.00802
                  22,            0.043637,            0.022087,            0.025228,             0.70003,             0.60499,             0.65575,             0.31512,            0.048945,            0.012275,            0.013912,            0.007921,            0.007921,            0.007921
                  23,             0.04278,            0.022786,            0.024985,             0.76881,             0.61947,             0.66817,              0.3404,            0.047045,            0.012182,            0.015579,            0.007822,            0.007822,            0.007822
                  24,            0.042721,            0.021948,            0.023531,             0.71483,             0.62709,             0.67489,             0.29144,            0.049196,            0.011931,            0.013998,            0.007723,            0.007723,            0.007723
                  25,            0.042311,             0.02219,            0.022904,             0.76832,             0.66835,             0.69821,             0.37374,            0.046765,            0.011979,            0.015062,            0.007624,            0.007624,            0.007624
                  26,            0.041975,            0.022497,            0.022422,             0.67592,             0.68164,             0.68009,             0.31025,            0.047608,            0.011271,            0.015515,            0.007525,            0.007525,            0.007525
                  27,            0.041868,            0.022381,            0.023141,             0.65594,              0.6518,             0.64073,             0.30948,            0.047257,            0.011961,             0.01456,            0.007426,            0.007426,            0.007426
                  28,            0.041581,            0.022285,            0.021972,             0.78526,             0.63035,             0.67558,             0.31319,            0.048426,            0.012118,            0.014986,            0.007327,            0.007327,            0.007327
                  29,            0.041574,            0.021969,            0.021788,             0.72742,             0.65795,             0.69457,             0.30895,            0.049205,            0.011581,            0.014262,            0.007228,            0.007228,            0.007228
                  30,             0.04179,             0.02215,            0.022084,             0.68178,             0.66152,             0.68118,             0.32483,            0.048041,            0.011953,            0.014803,            0.007129,            0.007129,            0.007129
                  31,            0.041233,            0.021855,            0.022784,              0.7755,             0.62366,             0.66231,             0.30953,            0.047248,             0.01189,            0.016062,             0.00703,             0.00703,             0.00703
                  32,            0.040673,            0.022104,            0.022343,             0.68483,             0.58256,             0.62269,             0.26346,            0.050446,            0.011698,            0.015832,            0.006931,            0.006931,            0.006931
                  33,            0.040196,            0.021739,            0.023703,              0.7344,             0.65872,             0.72027,             0.33445,            0.047655,            0.011713,            0.013378,            0.006832,            0.006832,            0.006832
                  34,            0.039435,            0.021857,            0.020601,             0.75941,             0.67282,             0.70401,             0.34613,            0.047385,            0.011742,            0.014667,            0.006733,            0.006733,            0.006733
                  35,            0.039389,            0.021787,            0.021695,             0.76126,             0.66314,             0.69489,             0.33683,            0.046958,            0.011773,             0.01474,            0.006634,            0.006634,            0.006634
                  36,            0.038922,            0.021387,            0.020315,             0.67251,             0.65607,             0.66628,             0.30612,            0.048007,            0.012252,            0.014759,            0.006535,            0.006535,            0.006535
                  37,            0.039048,             0.02164,            0.022106,             0.77708,             0.66475,             0.73508,             0.36366,            0.045802,            0.012041,            0.016734,            0.006436,            0.006436,            0.006436
                  38,            0.039861,            0.021688,            0.020684,             0.79182,             0.64673,             0.69647,             0.33823,            0.046584,            0.011925,             0.01324,            0.006337,            0.006337,            0.006337
